item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM00082,ORD00334,PROD0281,9,4249.34,35.58
ITEM00083,ORD00198,PROD0201,4,334.61,12.95
ITEM00084,ORD00475,PROD0173,8,79.16,67.47
ITEM00085,ORD00218,PROD0217,19,2328.75,33.13
ITEM00086,ORD00377,PROD0348,17,1526.84,89.65
ITEM00087,ORD00127,PROD0243,13,580.46,50.36
ITEM00088,ORD00125,PROD0179,9,1781.12,50.22
ITEM00089,ORD00245,PROD0388,15,3626.05,77.51
ITEM00090,ORD00018,PROD0201,3,2040.24,2.37
ITEM00091,ORD00472,PROD0201,14,93.88,79.61
ITEM00092,ORD00417,PROD0037,1,2182.48,47.7
ITEM00093,ORD00186,PROD0271,19,1027.84,86.88
ITEM00094,ORD00324,PROD0373,8,2669.03,3.74
ITEM00095,ORD00362,PROD0145,5,4497.62,16.12
ITEM00096,ORD00347,PROD0145,14,2083.06,68.24
ITEM00097,ORD00015,PROD0357,17,4569.89,7.88
ITEM00098,ORD00358,PROD0473,5,84.21,62.6
ITEM00099,ORD00341,PROD0100,6,3858.77,95.28
ITEM00100,ORD00331,PROD0359,18,1288.17,23.16
ITEM00101,ORD00076,PROD0439,18,2379.96,21.56
ITEM00102,ORD00134,PROD0281,1,1902.83,68.15
ITEM00103,ORD00310,PROD0202,20,1854.25,14.09
ITEM00104,ORD00234,PROD0050,6,4466.36,71.86
ITEM00105,ORD00484,PROD0068,-3,2705.32,99.34
ITEM00106,ORD00349,PROD0166,9,1383.93,50.16
ITEM00107,ORD00076,PROD0386,13,4947.38,99.23
ITEM00108,ORD00131,PROD0406,7,3298.58,60.87
ITEM00109,ORD00127,PROD0298,17,2224.82,52.33
ITEM00110,ORD00309,PROD0444,6,742.38,76.86
ITEM00111,ORD00297,PROD0413,19,3748.1,44.75
ITEM00112,ORD00488,PROD0028,3,78.76,13.12
ITEM00113,ORD00340,PROD0436,4,4423.7,29.08
ITEM00114,ORD00431,PROD0479,18,3560.64,62.35
ITEM00115,ORD00083,PROD0364,14,597.79,94.01
ITEM00116,ORD00007,PROD0156,17,1460.25,4.0
ITEM00117,ORD00060,PROD0235,11,711.72,71.28
ITEM00118,ORD00395,PROD0336,11,2134.23,68.29
ITEM00119,ORD00048,PROD0084,15,1689.51,23.91
ITEM00120,ORD00330,PROD0296,11,206.45,99.7
ITEM00121,ORD00365,PROD0071,15,3347.71,60.69
ITEM00122,ORD00470,PROD0227,11,4744.46,95.8
ITEM00123,ORD00197,PROD0357,-8,4800.51,56.69
ITEM00124,ORD00204,PROD0248,1,4915.5,99.44
ITEM00125,ORD00362,PROD0150,1,638.02,9.74
ITEM00126,ORD00301,PROD0460,6,2470.89,1.49
ITEM00127,ORD00499,PROD0075,16,2503.06,76.63
ITEM00128,ORD00462,PROD0108,18,3424.6,30.95
ITEM00129,ORD00042,PROD0112,3,680.8,86.75
ITEM00130,ORD00266,PROD0412,15,3767.9,79.74
ITEM00131,ORD00466,PROD0384,12,3912.67,89.51
ITEM00132,ORD00097,PROD0101,13,2029.39,49.89
ITEM00133,ORD00449,PROD0377,12,3643.67,45.48
ITEM00134,ORD00217,PROD0334,1,3722.37,16.97
ITEM00135,ORD00085,PROD0005,12,4136.91,29.56
ITEM00136,ORD00425,PROD0186,15,700.52,6.82
ITEM00137,ORD00219,PROD0372,-10,4790.51,57.65
ITEM00138,ORD00130,PROD0439,12,3973.93,35.34
ITEM00139,ORD00355,PROD0295,20,674.31,7.11
ITEM00140,ORD00155,PROD0053,8,1753.4,71.07
ITEM00141,ORD00257,PROD0348,16,117.56,46.07
ITEM00142,ORD00496,PROD0403,2,3437.97,98.61
ITEM00143,ORD00273,PROD0440,20,307.6,97.85
ITEM00144,ORD00338,PROD0076,7,4157.69,76.31
ITEM00145,ORD00454,PROD0193,13,2176.84,44.2
ITEM00146,ORD00196,PROD0487,9,3005.58,92.42
ITEM00147,ORD00301,PROD0219,16,89.74,93.98
ITEM00148,ORD00158,PROD0348,7,2426.96,97.17
ITEM00149,ORD00376,PROD0431,19,1447.01,48.83
ITEM00150,ORD00211,PROD0087,20,458.94,36.35
ITEM00151,ORD00386,PROD0475,3,2173.31,28.66
ITEM00152,ORD00449,PROD0029,3,3107.19,40.9
ITEM00153,ORD00474,PROD0050,19,3659.78,61.97
ITEM00154,ORD00373,PROD0183,17,974.96,68.06
ITEM00155,ORD00446,PROD0499,9,1441.64,44.08
ITEM00156,ORD00046,PROD0243,1,619.35,51.25
ITEM00157,ORD00056,PROD0092,18,1354.48,62.46
ITEM00158,ORD00326,PROD0484,18,3519.73,31.36
ITEM00159,ORD00294,PROD0027,1,3348.34,8.35
ITEM00160,ORD00398,PROD0061,2,2174.34,41.32
ITEM00161,ORD00409,PROD0264,11,2395.77,45.01
ITEM00162,ORD00177,PROD0333,14,3924.45,87.74
ITEM00163,ORD00417,PROD0174,17,560.17,99.12
ITEM00164,ORD00074,PROD0304,12,3665.76,4.27
ITEM00165,ORD00138,PROD0223,2,3074.95,97.74
ITEM00166,ORD00384,PROD0497,8,983.91,5.71
ITEM00167,ORD00108,PROD0077,14,4281.62,79.06
ITEM00168,ORD00477,PROD0322,11,3163.09,69.97
ITEM00169,ORD00384,PROD0370,-7,786.19,56.08
ITEM00170,ORD00204,PROD0207,19,646.28,15.46
ITEM00171,ORD00358,PROD0126,8,2036.35,10.53
ITEM00172,ORD00158,PROD0018,14,1405.62,37.58
ITEM00173,ORD00004,PROD0061,8,1001.28,57.01
ITEM00174,ORD00087,PROD0124,11,773.74,85.38
ITEM00175,ORD00418,PROD0204,4,137.42,22.31
ITEM00176,ORD00252,PROD0251,-4,1038.24,87.42
ITEM00177,ORD00001,PROD0155,19,4328.53,66.92
ITEM00178,ORD00050,PROD0353,11,1932.75,34.89
ITEM00179,ORD00036,PROD0306,8,2648.61,46.85
ITEM00180,ORD00397,PROD0489,8,3515.79,53.51
ITEM00181,ORD00357,PROD0089,2,4901.62,81.83
ITEM00182,ORD00214,PROD0335,17,1147.79,10.91
ITEM00183,ORD00269,PROD0382,3,2159.08,18.03
ITEM00184,ORD00214,PROD0193,20,353.68,10.83
ITEM00185,ORD00336,PROD0398,4,2164.01,95.95
ITEM00186,ORD00148,PROD0355,19,305.69,39.69
ITEM00187,ORD00376,PROD0408,2,594.77,43.31
ITEM00188,ORD00221,PROD0344,13,1849.7,40.15
ITEM00189,ORD00088,PROD0338,3,4717.84,6.45
ITEM00190,ORD00091,PROD0046,2,3572.35,34.24
ITEM00191,ORD00192,PROD0399,15,1272.49,60.44
ITEM00192,ORD00096,PROD0238,20,4480.78,21.26
ITEM00193,ORD00361,PROD0443,3,949.67,74.13
ITEM00194,ORD00069,PROD0419,2,52.65,11.43
ITEM00195,ORD00102,PROD0333,10,3319.13,45.46
ITEM00196,ORD00250,PROD0196,13,1642.12,54.51
ITEM00197,ORD00094,PROD0141,14,1462.32,94.85
ITEM00198,ORD00258,PROD0324,20,1436.79,14.55
ITEM00199,ORD00486,PROD0335,20,3052.28,21.35
ITEM00200,ORD00057,PROD0228,-4,2182.99,56.82
ITEM00201,ORD00231,PROD0189,14,1298.7,98.78
ITEM00202,ORD00291,PROD0006,20,2481.87,77.42
ITEM00203,ORD00417,PROD0062,1,1704.7,6.24
ITEM00204,ORD00109,PROD0060,11,602.07,80.85
ITEM00205,ORD00096,PROD0043,4,3361.29,78.96
ITEM00206,ORD00103,PROD0063,20,3430.66,97.86
ITEM00207,ORD00031,PROD0251,19,3863.8,21.34
ITEM00208,ORD00384,PROD0329,7,695.03,21.15
ITEM00209,ORD00094,PROD0343,5,1834.82,2.29
ITEM00210,ORD00415,PROD0466,9,4059.67,75.86
ITEM00211,ORD00389,PROD0261,16,3727.51,42.29
ITEM00212,ORD00099,PROD0116,15,2965.11,25.21
ITEM00213,ORD00133,PROD0012,5,3043.33,17.61
ITEM00214,ORD00462,PROD0301,2,1229.35,14.17
ITEM00215,ORD00447,PROD0294,19,1415.94,27.39
ITEM00216,ORD00210,PROD0294,12,2942.42,8.17
ITEM00217,ORD00226,PROD0246,18,481.79,87.38
ITEM00218,ORD00321,PROD0141,5,576.51,45.14
ITEM00219,ORD00468,PROD0356,20,3166.32,41.97
ITEM00220,ORD00320,PROD0382,12,3029.08,21.41
ITEM00221,ORD00056,PROD0049,17,253.14,89.31
ITEM00222,ORD00445,PROD0407,5,4843.23,18.41
ITEM00223,ORD00326,PROD0304,17,4426.0,5.37
ITEM00224,ORD00086,PROD0093,18,4096.18,89.5
ITEM00225,ORD00041,PROD0197,14,1004.99,42.85
ITEM00226,ORD00151,PROD0248,7,2256.56,96.34
ITEM00227,ORD00044,PROD0331,7,538.26,29.69
ITEM00228,ORD00194,PROD0360,11,4712.0,19.86
ITEM00229,ORD00064,PROD0223,16,3114.1,94.19
ITEM00230,ORD00142,PROD0153,15,1542.31,48.16
ITEM00231,ORD00033,PROD0293,11,2397.28,53.55
ITEM00232,ORD00176,PROD0065,19,3816.89,78.39
ITEM00233,ORD00016,PROD0051,20,2691.11,96.56
ITEM00234,ORD00300,PROD0167,11,810.68,43.68
ITEM00235,ORD00121,PROD0033,15,682.77,91.26
ITEM00236,ORD00245,PROD0366,2,2120.15,57.03
ITEM00237,ORD00249,PROD0466,1,3572.44,82.3
ITEM00238,ORD00345,PROD0442,8,4463.35,56.09
ITEM00239,ORD00390,PROD0408,7,3808.81,89.38
ITEM00240,ORD00052,PROD0276,11,4238.14,19.86
ITEM00241,ORD00005,PROD0095,13,2823.71,72.27
ITEM00242,ORD00032,PROD0208,6,1769.33,57.85
ITEM00243,ORD00137,PROD0417,1,1861.76,14.46
ITEM00244,ORD00385,PROD0359,3,3167.83,66.41
ITEM00245,ORD00490,PROD0011,18,631.27,82.35
ITEM00246,ORD00004,PROD0202,10,2208.82,73.44
ITEM00247,ORD00341,PROD0285,19,2439.96,82.52
ITEM00248,ORD00299,PROD0419,12,2642.63,73.31
ITEM00249,ORD00405,PROD0275,1,4764.6,1.42
ITEM00250,ORD00022,PROD0402,10,3964.88,89.65
ITEM00251,ORD00050,PROD0416,9,876.33,93.38
ITEM00252,ORD00109,PROD0272,11,1407.04,49.94
ITEM00253,ORD00268,PROD0251,8,4839.06,31.64
ITEM00254,ORD00406,PROD0033,1,1483.8,79.2
ITEM00255,ORD00004,PROD0266,9,4781.22,67.39
ITEM00256,ORD00193,PROD0429,1,350.93,26.28
ITEM00257,ORD00309,PROD0300,5,4863.75,72.23
ITEM00258,ORD00267,PROD0276,4,991.45,98.82
ITEM00259,ORD00493,PROD0366,7,4081.94,94.33
ITEM00260,ORD00390,PROD0420,8,2500.38,85.73
ITEM00261,ORD00137,PROD0405,12,2685.73,63.43
ITEM00262,ORD00478,PROD0334,17,2591.76,63.89
ITEM00263,ORD00249,PROD0064,20,421.18,57.84
ITEM00264,ORD00243,PROD0386,3,2216.84,3.65
ITEM00265,ORD00388,PROD0386,5,2570.93,74.57
ITEM00266,ORD00173,PROD0107,7,2834.37,18.77
ITEM00267,ORD00310,PROD0495,12,1981.72,69.64
ITEM00268,ORD00220,PROD0338,14,3055.73,77.44
ITEM00269,ORD00173,PROD0460,8,1074.28,60.09
ITEM00270,ORD00190,PROD0061,20,67.82,21.61
ITEM00271,ORD00350,PROD0093,18,2880.89,20.98
ITEM00272,ORD00456,PROD0442,5,2980.96,19.12
ITEM00273,ORD00176,PROD0307,2,93.86,67.96
ITEM00274,ORD00162,PROD0356,9,4646.71,95.51
ITEM00275,ORD00419,PROD0093,17,2588.34,37.03
ITEM00276,ORD00123,PROD0003,16,2543.9,36.38
ITEM00277,ORD00482,PROD0285,3,3616.87,30.19
ITEM00278,ORD00185,PROD0229,20,1331.23,30.7
ITEM00279,ORD00341,PROD0410,17,4269.75,81.91
ITEM00280,ORD00205,PROD0161,17,1517.0,12.47
ITEM00281,ORD00194,PROD0063,17,1379.15,49.91
ITEM00282,ORD00313,PROD0021,11,639.56,99.9
ITEM00283,ORD00030,PROD0066,17,1158.45,41.41
ITEM00284,ORD00500,PROD0295,16,2691.15,35.17
ITEM00285,ORD00183,PROD0106,19,1494.62,82.82
ITEM00286,ORD00448,PROD0335,19,3216.1,42.58
ITEM00287,ORD00170,PROD0083,7,4713.13,97.41
ITEM00288,ORD00413,PROD0045,7,1424.89,33.58
ITEM00289,ORD00052,PROD0288,8,708.21,92.63
ITEM00290,ORD00002,PROD0132,10,4373.25,45.88
ITEM00291,ORD00234,PROD0436,13,305.02,37.31
ITEM00292,ORD00446,PROD0386,12,4901.12,55.28
ITEM00293,ORD00358,PROD0018,3,4948.2,16.27
ITEM00294,ORD00206,PROD0044,3,1089.36,43.59
ITEM00295,ORD00372,PROD0064,17,625.11,28.5
ITEM00296,ORD00428,PROD0260,19,3260.8,65.96
ITEM00297,ORD00455,PROD0153,17,3181.78,68.03
ITEM00298,ORD00474,PROD0187,14,4862.48,63.41
ITEM00299,ORD00072,PROD0495,14,1656.58,70.21
ITEM00300,ORD00014,PROD0279,16,4734.82,93.79
ITEM00301,ORD00309,PROD0088,13,4425.73,90.59
ITEM00302,ORD00063,PROD0217,-3,1356.99,9.92
ITEM00303,ORD00445,PROD0484,3,711.38,8.76
ITEM00304,ORD00272,PROD0337,3,4496.76,83.72
ITEM00305,ORD00144,PROD0001,17,1509.73,8.96
ITEM00306,ORD00487,PROD0128,3,4927.04,1.64
ITEM00307,ORD00359,PROD0154,8,3148.48,93.25
ITEM00308,ORD00385,PROD0024,3,101.52,10.37
ITEM00309,ORD00418,PROD0485,18,1809.64,74.99
ITEM00310,ORD00128,PROD0485,7,3665.86,62.38
ITEM00311,ORD00189,PROD0266,9,1434.46,54.47
ITEM00312,ORD00232,PROD0464,9,1317.14,63.35
ITEM00313,ORD00317,PROD0401,20,127.41,50.34
ITEM00314,ORD00352,PROD0151,18,3303.72,80.59
ITEM00315,ORD00338,PROD0338,1,4346.51,66.77
ITEM00316,ORD00446,PROD0274,10,4698.13,85.17
ITEM00317,ORD00244,PROD0228,13,2937.14,21.19
ITEM00318,ORD00264,PROD0072,19,3626.88,77.69
ITEM00319,ORD00212,PROD0296,1,3456.17,55.16
ITEM00320,ORD00339,PROD0252,17,4731.0,11.45
ITEM00321,ORD00097,PROD0356,5,1323.86,85.63
ITEM00322,ORD00002,PROD0161,8,3149.84,95.06
ITEM00323,ORD00327,PROD0268,7,3041.49,35.06
ITEM00324,ORD00491,PROD0467,17,1070.49,79.38
ITEM00325,ORD00483,PROD0181,18,2238.82,46.39
ITEM00326,ORD00417,PROD0311,15,1655.1,90.8
ITEM00327,ORD00165,PROD0276,3,1059.4,64.49
ITEM00328,ORD00009,PROD0262,7,3167.51,78.46
ITEM00329,ORD00325,PROD0108,14,4298.2,39.58
ITEM00330,ORD00185,PROD0353,15,2007.54,93.96
ITEM00331,ORD00448,PROD0051,1,2257.98,78.22
ITEM00332,ORD00024,PROD0340,19,3662.57,50.76
ITEM00333,ORD00497,PROD0420,10,2197.82,26.76
ITEM00334,ORD00414,PROD0023,1,784.25,65.87
ITEM00335,ORD00377,PROD0122,12,2421.08,30.74
ITEM00336,ORD00167,PROD0019,14,2505.01,90.27
ITEM00337,ORD00348,PROD0097,13,2323.98,90.93
ITEM00338,ORD00228,PROD0073,18,4087.21,67.33
ITEM00339,ORD00120,PROD0154,19,921.75,0.42
ITEM00340,ORD00311,PROD0439,-10,2869.81,90.91
ITEM00341,ORD00249,PROD0427,5,4719.61,3.27
ITEM00342,ORD00205,PROD0111,11,943.01,2.62
ITEM00343,ORD00379,PROD0491,20,1446.12,79.05
ITEM00344,ORD00314,PROD0069,19,1585.29,84.08
ITEM00345,ORD00407,PROD0309,13,4432.0,51.9
ITEM00346,ORD00042,PROD0283,13,4096.62,74.12
ITEM00347,ORD00179,PROD0111,13,3452.47,31.75
ITEM00348,ORD00220,PROD0303,4,979.85,17.04
ITEM00349,ORD00481,PROD0184,15,760.44,57.22
ITEM00350,ORD00477,PROD0143,10,2160.66,43.0
ITEM00351,ORD00483,PROD0066,4,2302.37,55.57
ITEM00352,ORD00477,PROD0374,6,3243.34,39.14
ITEM00353,ORD00244,PROD0319,20,2042.4,61.63
ITEM00354,ORD00338,PROD0217,6,3635.32,39.33
ITEM00355,ORD00439,PROD0039,13,729.59,5.16
ITEM00356,ORD00359,PROD0282,8,3764.7,93.19
ITEM00357,ORD00464,PROD0131,17,108.35,42.91
ITEM00358,ORD00052,PROD0134,2,543.66,93.94
ITEM00359,ORD00376,PROD0196,1,1950.75,39.04
ITEM00360,ORD00198,PROD0333,14,594.68,72.81
ITEM00361,ORD00151,PROD0463,4,117.08,40.31
ITEM00362,ORD00311,PROD0084,14,4161.06,31.81
ITEM00363,ORD00100,PROD0205,3,4676.65,15.84
ITEM00364,ORD00365,PROD0234,7,704.29,23.1
ITEM00365,ORD00074,PROD0043,7,3862.08,71.0
ITEM00366,ORD00446,PROD0484,16,1374.9,12.63
ITEM00367,ORD00267,PROD0131,19,4696.06,11.84
ITEM00368,ORD00449,PROD0347,19,3018.2,57.69
ITEM00369,ORD00293,PROD0218,15,3972.38,39.2
ITEM00370,ORD00402,PROD0482,1,96.51,76.22
ITEM00371,ORD00439,PROD0356,15,3968.72,91.67
ITEM00372,ORD00367,PROD0074,13,2734.73,83.73
ITEM00373,ORD00259,PROD0275,8,4100.36,15.91
ITEM00374,ORD00017,PROD0105,19,4270.97,32.24
ITEM00375,ORD00066,PROD0037,15,470.58,9.33
ITEM00376,ORD00255,PROD0323,2,739.19,2.56
ITEM00377,ORD00408,PROD0376,10,3810.38,1.15
ITEM00378,ORD00045,PROD0138,15,4467.33,77.0
ITEM00379,ORD00155,PROD0325,10,4086.55,15.3
ITEM00380,ORD00427,PROD0357,6,1571.56,61.81
ITEM00381,ORD00345,PROD0331,6,2420.6,54.37
ITEM00382,ORD00281,PROD0099,14,1256.85,97.24
ITEM00383,ORD00448,PROD0366,6,2740.46,57.18
ITEM00384,ORD00240,PROD0191,4,1373.91,2.53
ITEM00385,ORD00087,PROD0289,2,2740.88,73.42
ITEM00386,ORD00459,PROD0337,6,154.98,98.34
ITEM00387,ORD00229,PROD0332,18,270.4,63.45
ITEM00388,ORD00489,PROD0421,3,2745.98,77.76
ITEM00389,ORD00060,PROD0262,7,557.7,18.66
ITEM00390,ORD00247,PROD0310,14,4437.96,65.25
ITEM00391,ORD00340,PROD0084,18,2105.66,22.18
ITEM00392,ORD00277,PROD0215,12,55.99,19.38
ITEM00393,ORD00124,PROD0421,4,1160.35,84.05
ITEM00394,ORD00125,PROD0079,11,1172.04,72.63
ITEM00395,ORD00109,PROD0162,6,1957.65,80.71
ITEM00396,ORD00088,PROD0404,17,1798.88,37.81
ITEM00397,ORD00386,PROD0223,1,1469.89,26.05
ITEM00398,ORD00484,PROD0195,15,4612.37,5.17
ITEM00399,ORD00338,PROD0014,13,3437.87,8.3
ITEM00400,ORD00359,PROD0494,13,3449.49,14.38
ITEM00401,ORD00046,PROD0310,9,3588.51,2.31
ITEM00402,ORD00055,PROD0127,5,4512.99,98.48
ITEM00403,ORD00223,PROD0040,15,2484.51,86.69
ITEM00404,ORD00367,PROD0139,3,4954.3,11.09
ITEM00405,ORD00015,PROD0064,8,1161.39,92.72
ITEM00406,ORD00083,PROD0273,15,4784.51,12.27
ITEM00407,ORD00476,PROD0057,9,1444.98,14.18
ITEM00408,ORD00476,PROD0351,6,427.64,26.2
ITEM00409,ORD00168,PROD0281,20,1701.94,18.06
ITEM00410,ORD00463,PROD0209,10,1834.44,7.74
ITEM00411,ORD00197,PROD0034,13,4627.28,84.46
ITEM00412,ORD00393,PROD0169,1,469.78,91.27
ITEM00413,ORD00144,PROD0328,5,264.57,20.8
ITEM00414,ORD00113,PROD0046,6,797.96,10.07
ITEM00415,ORD00369,PROD0186,2,2171.71,79.54
ITEM00416,ORD00132,PROD0466,18,1707.48,41.37
ITEM00417,ORD00341,PROD0171,2,947.76,48.65
ITEM00418,ORD00244,PROD0399,17,2154.96,62.57
ITEM00419,ORD00488,PROD0140,4,4470.93,21.03
ITEM00420,ORD00460,PROD0075,10,3451.45,41.99
ITEM00421,ORD00344,PROD0445,20,3142.55,88.97
ITEM00422,ORD00064,PROD0409,-4,1470.68,63.36
ITEM00423,ORD00341,PROD0116,8,4383.24,45.09
ITEM00424,ORD00070,PROD0141,8,1391.91,16.11
ITEM00425,ORD00473,PROD0006,1,2521.29,29.88
ITEM00426,ORD00274,PROD0051,1,1877.11,90.36
ITEM00427,ORD00325,PROD0194,7,1363.73,65.97
ITEM00428,ORD00372,PROD0497,3,4539.57,63.12
ITEM00429,ORD00252,PROD0114,4,4003.48,85.48
ITEM00430,ORD00047,PROD0194,6,3954.84,11.72
ITEM00431,ORD00408,PROD0488,2,4315.48,34.28
ITEM00432,ORD00355,PROD0054,4,4891.34,34.68
ITEM00433,ORD00171,PROD0401,11,3900.03,99.49
ITEM00434,ORD00447,PROD0474,7,775.62,60.0
ITEM00435,ORD00115,PROD0064,18,781.51,0.5
ITEM00436,ORD00478,PROD0090,14,2261.14,52.17
ITEM00437,ORD00295,PROD0270,7,3994.41,25.45
ITEM00438,ORD00393,PROD0373,11,4882.88,12.16
ITEM00439,ORD00474,PROD0449,13,4082.52,60.61
ITEM00440,ORD00308,PROD0157,1,610.16,53.6
ITEM00441,ORD00034,PROD0302,15,2165.89,51.8
ITEM00442,ORD00330,PROD0421,9,3647.2,76.1
ITEM00443,ORD00176,PROD0414,12,766.11,21.63
ITEM00444,ORD00194,PROD0251,7,1649.11,36.49
ITEM00445,ORD00467,PROD0049,20,681.3,89.86
ITEM00446,ORD00368,PROD0271,4,3849.3,2.95
ITEM00447,ORD00381,PROD0179,19,1795.41,13.86
ITEM00448,ORD00377,PROD0359,4,2496.32,8.34
ITEM00449,ORD00372,PROD0293,13,2432.38,69.16
ITEM00450,ORD00196,PROD0444,5,4865.6,12.66
ITEM00451,ORD00335,PROD0145,11,3028.63,27.37
ITEM00452,ORD00329,PROD0283,16,3201.19,19.92
ITEM00453,ORD00402,PROD0139,1,734.2,9.2
ITEM00454,ORD00288,PROD0312,19,4722.95,70.81
ITEM00455,ORD00495,PROD0051,17,4611.94,65.19
ITEM00456,ORD00439,PROD0460,8,1946.77,46.7
ITEM00457,ORD00224,PROD0025,1,2769.23,80.9
ITEM00458,ORD00414,PROD0088,20,2716.8,43.61
ITEM00459,ORD00120,PROD0163,4,2488.38,94.63
ITEM00460,ORD00115,PROD0485,14,2704.25,92.23
ITEM00461,ORD00133,PROD0385,20,1189.07,25.01
ITEM00462,ORD00060,PROD0200,5,463.91,19.79
ITEM00463,ORD00149,PROD0093,10,3588.86,84.6
ITEM00464,ORD00045,PROD0177,13,2658.38,71.74
ITEM00465,ORD00058,PROD0413,2,3894.13,96.19
ITEM00466,ORD00046,PROD0380,20,4065.9,10.29
ITEM00467,ORD00175,PROD0348,15,1135.7,79.32
